#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0702981   0.0702981           0
           2   0.0600866   0.0651923  0.00361031
           3   0.0575295    0.062638  0.00318474
           4   0.0551571   0.0607678  0.00288592
           5   0.0582498   0.0602642  0.00235227
           6    0.057523   0.0598073   0.0020041
           7   0.0543673   0.0590302  0.00186239
           8   0.0592311   0.0590553  0.00162976
           9   0.0549899   0.0586036  0.00150998
          10    0.055486   0.0582918  0.00139079
          11    0.055982   0.0580819  0.00128011
          12   0.0563702   0.0579392  0.00118136
          13   0.0565902   0.0578354  0.00109503
          14   0.0554179   0.0576628  0.00103034
          15   0.0563312    0.057574 0.000965466
          16   0.0590249   0.0576647 0.000909373
          17   0.0558997   0.0575609 0.000861787
          18   0.0570626   0.0575332 0.000814354
          19   0.0550199   0.0574009 0.000782163
          20   0.0569615   0.0573789 0.000743363
          21   0.0556868   0.0572984 0.000712318
          22   0.0589919   0.0573753 0.000684087
          23   0.0567829   0.0573496 0.000654829
          24   0.0591411   0.0574242 0.000631785
          25   0.0583774   0.0574624 0.000607663
          26   0.0565096   0.0574257 0.000585395
          27   0.0560861   0.0573761 0.000565812
          28   0.0577569   0.0573897 0.000545768
          29   0.0572738   0.0573857 0.000526963
          30   0.0568522   0.0573679 0.000509698
